name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
ECR Beach,12.8918404,80.2536424,4.4,beach,1927,"Sea Shell Ave, Akkarai, Panaiyur, Chennai",60
Edward Elliot's Beach,12.9988631,80.271761,4.4,beach,3321,"Edward Elliot's Beach, Tamil Nadu, India",60
Gandhi Beach,13.0401803,80.2812613,4.4,beach,246,"Gandhi Beach, India",60
Graveside Beach,12.7550862,80.2463065,4.3,beach,116,Kanchipuram,60
Kalpakkam Beach,12.4997247,80.1601553,4.3,beach,106,"Mosque Rd, Meiyur",60
Mahabalipuram Beach,12.6121234,80.1969215,4.4,beach,2405,"Mahabalipuram Beach, Tamil Nadu 603104, India",60
Marina Beach Photo Spot,13.0551109,80.2846086,4.4,beach,1576,"Marina Beach, Triplicane, Chennai",60
Olive Beach,12.9254561,80.2580138,4.2,beach,202,Chennai,60
Pallava Beach,12.6344609,80.2016286,4.4,beach,28,"Pallava Beach, Tamil Nadu 603104, India",60
Panaiyur Beach ECR,12.8827778,80.2522222,4.4,beach,1321,"3/338, Rajaji Road, Panaiyur, Chennai",60
Sai Beach Resort,12.699315,80.2255134,4.1,beach,7,Nemmeli,60
Thiruvalluvar Nagar Beach,12.9736122,80.2664556,4.4,beach,599,Chennai,60
Thiruvanmiyur Beach,12.9756151,80.2669676,4.5,beach,21586,"Water Land Dr Rd, Valmiki Nagar, Thiruvalluvar Nagar, Lakshman Perumal Nagar, Chennai",60
Tiruvottiyur Beach,13.169452,80.3114742,4,beach,56,"Tiruvottiyur Beach, Tamil Nadu 600019, India",60
Uthandi Beach,12.8713261,80.2507762,4.4,beach,205,Chennai,60
Beautiful Beach,12.9214993,80.2568178,4.2,beach,78,"Injambakkam, Harichandra 3rd Cross St, Cholamandal Artists Village, Injambakkam, Chennai",60
Enfour Beach,13.1326365,80.3017719,4.9,beach,11,"Fishing Harbour, Tondiarpet, Chennai",60
Covelong Beach,12.7870019,80.2504447,3.9,beach,33,"Covelong, Chennai",60
